Bandit,Estimated_Reward,Pulls,Estimated_Regret
1,-0.6189325270824255,2,1.6189325270824255
2,1.385045311149391,16,0.614954688850609
3,2.780032015823534,31,0.21996798417646612
4,4.011100949904292,19951,-0.011100949904292001
