Trial,Cumulative_Reward,Cumulative_Regret
10223,40905.95947051676,-9.95947051676194
10224,40910.39083439198,-10.390834391982935
10225,40914.08762390253,-10.08762390253105
10226,40918.94330047877,-10.943300478771562
10227,40922.026867529334,-10.026867529333686
10228,40925.91065948812,-9.910659488123201
10229,40929.771665031374,-9.771665031374141
10230,40934.60745004301,-10.60745004301134
10231,40938.722430464506,-10.722430464506033
10232,40942.61094576447,-10.61094576447067
10233,40947.002108698965,-11.002108698965458
10234,40952.35027793274,-12.350277932739118
10235,40956.51668352626,-12.516683526257111
10236,40959.930463266115,-11.930463266115112
10237,40963.12932364418,-11.12932364417793
10238,40967.552771785224,-11.55277178522374
10239,40969.859659144095,-9.859659144094621
10240,40974.4998398327,-10.499839832700673
10241,40978.38232725899,-10.382327258987061
10242,40981.87078122698,-9.870781226978579
10243,40985.869965090045,-9.869965090045298
10244,40991.40429805698,-11.404298056979314
10245,40996.41763737073,-12.417637370730517
10246,41001.12508647131,-13.12508647130744
10247,41006.82693184227,-14.826931842268095
10248,41009.04465283803,-13.044652838027105
10249,41013.09359827922,-13.093598279221624
10250,41017.613274396215,-13.613274396215274
10251,41021.31788331071,-13.317883310708567
10252,41024.52277646519,-12.522776465193601
10253,41028.446398999164,-12.446398999163648
10254,41033.28254992132,-13.282549921321333
10255,41037.07441748653,-13.074417486532184
10256,41040.259584201995,-12.259584201994585
10257,41045.01804806588,-13.018048065881885
10258,41049.71892295027,-13.718922950269189
10259,41053.93121379224,-13.93121379223885
10260,41057.10886718479,-13.108867184790142
10261,41060.56517427948,-12.565174279479834
10262,41064.437775245104,-12.437775245103694
10263,41067.16912688721,-11.169126887209131
10264,41072.8907699024,-12.89076990239846
10265,41076.659637246565,-12.659637246564671
10266,41079.1476309124,-11.14763091239729
10267,41082.69911362066,-10.699113620663411
10268,41086.26156163083,-10.261561630832148
10269,41090.391897632624,-10.391897632624023
10270,41095.079209508425,-11.079209508425265
10271,41098.89543707505,-10.895437075050722
10272,41102.53571959356,-10.535719593557587
10273,41106.51432556881,-10.514325568809
10274,41110.73415340339,-10.734153403391247
