Bandit,Estimated_Reward,Pulls,Estimated_Regret
1,0.9483362913012838,3,0.05166370869871617
2,1.3180590991748298,2,0.6819409008251702
3,3.03671812880913,252,-0.03671812880913006
4,3.98845420390352,19743,0.01154579609648021
