Trial,Bandit,Reward,Algorithm
0,0.0,0.8817818817022102,ThompsonSampling
1,2.0,2.8692736551834006,ThompsonSampling
2,0.0,2.3252522503866695,ThompsonSampling
3,2.0,2.7548297831723154,ThompsonSampling
4,0.0,0.586311033116256,ThompsonSampling
5,2.0,3.746239750027857,ThompsonSampling
6,2.0,4.413050826678386,ThompsonSampling
7,2.0,1.9644977146072724,ThompsonSampling
8,2.0,4.985127581586806,ThompsonSampling
9,2.0,2.580744978334949,ThompsonSampling
10,2.0,2.655002913435558,ThompsonSampling
11,2.0,1.4569961897962065,ThompsonSampling
12,2.0,4.329086698030055,ThompsonSampling
13,2.0,3.759418141269499,ThompsonSampling
14,2.0,4.41124856843079,ThompsonSampling
15,2.0,0.961380561531584,ThompsonSampling
16,2.0,4.00568436260784,ThompsonSampling
17,2.0,2.4516193519896357,ThompsonSampling
18,2.0,4.708850869855656,ThompsonSampling
19,2.0,2.4547751677242804,ThompsonSampling
20,2.0,3.330742463773446,ThompsonSampling
21,2.0,4.814036160698911,ThompsonSampling
22,2.0,2.4908878330827653,ThompsonSampling
23,2.0,3.7026325337289308,ThompsonSampling
24,2.0,2.5877152095088274,ThompsonSampling
25,2.0,4.539932361658332,ThompsonSampling
26,2.0,3.678885568800995,ThompsonSampling
27,2.0,2.541259005904161,ThompsonSampling
28,2.0,3.1056336073313164,ThompsonSampling
29,2.0,2.1191330180131134,ThompsonSampling
30,2.0,4.8595302427285425,ThompsonSampling
31,2.0,2.663674106035502,ThompsonSampling
32,2.0,2.603822981185144,ThompsonSampling
33,2.0,2.1758712490649934,ThompsonSampling
34,2.0,2.8848917267704257,ThompsonSampling
35,2.0,2.6330370716434186,ThompsonSampling
36,2.0,3.745246033127557,ThompsonSampling
37,2.0,1.985469460773332,ThompsonSampling
38,2.0,4.4008616408077845,ThompsonSampling
39,2.0,3.404791289740242,ThompsonSampling
40,2.0,3.4051986143360935,ThompsonSampling
41,2.0,3.3889046767092585,ThompsonSampling
42,2.0,3.0263087569525893,ThompsonSampling
43,2.0,2.7658695643031477,ThompsonSampling
44,2.0,2.656834881611374,ThompsonSampling
45,2.0,1.1179017118244368,ThompsonSampling
46,2.0,4.028882000795624,ThompsonSampling
47,2.0,3.6333741439884077,ThompsonSampling
48,2.0,2.416146688346988,ThompsonSampling
49,2.0,3.4081298424935627,ThompsonSampling
50,2.0,2.6383879169503035,ThompsonSampling
51,2.0,2.847471662970055,ThompsonSampling
52,2.0,2.186645745593118,ThompsonSampling
53,2.0,-0.052929024743941344,ThompsonSampling
54,2.0,1.8695898905690653,ThompsonSampling
55,2.0,4.926563949236747,ThompsonSampling
56,2.0,3.971233457160428,ThompsonSampling
57,2.0,3.3564051624521722,ThompsonSampling
58,2.0,4.270320920389487,ThompsonSampling
59,2.0,3.738289030420122,ThompsonSampling
60,2.0,1.9294389412443296,ThompsonSampling
61,2.0,4.035744210152865,ThompsonSampling
62,2.0,4.973088766840464,ThompsonSampling
63,2.0,2.8384834925935802,ThompsonSampling
64,2.0,4.976952195397191,ThompsonSampling
65,2.0,4.851990960967749,ThompsonSampling
66,2.0,3.8879488884934283,ThompsonSampling
67,2.0,2.8354929014636103,ThompsonSampling
68,2.0,2.7821099295351868,ThompsonSampling
69,2.0,2.180047521896923,ThompsonSampling
70,2.0,3.077604888744293,ThompsonSampling
71,2.0,3.2240219017104947,ThompsonSampling
72,2.0,0.648859146323042,ThompsonSampling
73,2.0,3.793305648885759,ThompsonSampling
74,2.0,5.59918555535033,ThompsonSampling
75,2.0,3.6899705778938463,ThompsonSampling
76,2.0,1.251945223603482,ThompsonSampling
77,2.0,4.536447608407003,ThompsonSampling
78,2.0,2.228297233089366,ThompsonSampling
79,2.0,1.086214731965309,ThompsonSampling
80,2.0,2.1807044453834226,ThompsonSampling
81,2.0,2.913261567246856,ThompsonSampling
82,2.0,1.7657558752426088,ThompsonSampling
83,2.0,2.154818188036266,ThompsonSampling
84,2.0,2.68454760284484,ThompsonSampling
85,2.0,4.164501924301395,ThompsonSampling
86,2.0,3.110673911869597,ThompsonSampling
87,2.0,2.4811489931626616,ThompsonSampling
88,2.0,3.505566417743079,ThompsonSampling
89,2.0,3.0873251520455924,ThompsonSampling
90,2.0,2.0476024811394953,ThompsonSampling
91,2.0,3.074277142440616,ThompsonSampling
92,2.0,4.093450997973947,ThompsonSampling
93,2.0,2.252355451031009,ThompsonSampling
94,2.0,2.9006900254835357,ThompsonSampling
95,2.0,2.9375569308788276,ThompsonSampling
96,2.0,2.2397070847957994,ThompsonSampling
97,2.0,3.970182354432373,ThompsonSampling
98,2.0,0.29594601119321595,ThompsonSampling
99,2.0,3.3448447177402723,ThompsonSampling
100,2.0,2.0583943437001953,ThompsonSampling
101,2.0,2.661786350506116,ThompsonSampling
102,2.0,1.8489758450233993,ThompsonSampling
103,2.0,4.629495145750505,ThompsonSampling
104,2.0,3.755575538181072,ThompsonSampling
105,2.0,3.5914673511480766,ThompsonSampling
106,2.0,2.5223592322234882,ThompsonSampling
107,2.0,1.6990479872647164,ThompsonSampling
108,2.0,4.048609003990112,ThompsonSampling
109,2.0,1.781698839087709,ThompsonSampling
110,2.0,4.09279291513993,ThompsonSampling
111,2.0,2.583577108696552,ThompsonSampling
112,2.0,1.9589552412852844,ThompsonSampling
113,2.0,3.4519277487378446,ThompsonSampling
114,2.0,3.710613820177674,ThompsonSampling
115,2.0,2.1670033284090593,ThompsonSampling
116,2.0,1.6887426485867607,ThompsonSampling
117,2.0,3.9967843506438325,ThompsonSampling
118,2.0,3.001964153096683,ThompsonSampling
119,2.0,3.1430788336626416,ThompsonSampling
120,2.0,1.6502570918613502,ThompsonSampling
121,2.0,2.8281038465890607,ThompsonSampling
122,2.0,2.765731440994054,ThompsonSampling
123,2.0,3.5474230321452076,ThompsonSampling
