Trial,Bandit,Reward,Algorithm
0,1.0,1.0510761357747245,EpsilonGreedy
1,1.0,3.712384335085636,EpsilonGreedy
2,1.0,0.3468108587679417,EpsilonGreedy
3,1.0,1.4534286126205282,EpsilonGreedy
4,1.0,2.5332497125012114,EpsilonGreedy
5,1.0,0.6424196306287382,EpsilonGreedy
6,1.0,-0.22203739209531914,EpsilonGreedy
7,1.0,1.3107846352757746,EpsilonGreedy
8,1.0,1.5256372270004603,EpsilonGreedy
9,1.0,0.4737109748820023,EpsilonGreedy
10,1.0,2.54240851940025,EpsilonGreedy
11,1.0,0.7077255965393996,EpsilonGreedy
12,1.0,0.34009631537564244,EpsilonGreedy
13,2.0,2.7716241383116618,EpsilonGreedy
14,2.0,3.0355613296697648,EpsilonGreedy
15,2.0,3.7165186328750637,EpsilonGreedy
16,2.0,2.383331039626031,EpsilonGreedy
17,2.0,3.509727643672451,EpsilonGreedy
18,2.0,1.9473854384160105,EpsilonGreedy
19,2.0,3.1164043634344285,EpsilonGreedy
20,2.0,2.375572449493698,EpsilonGreedy
21,2.0,2.45308744206488,EpsilonGreedy
22,2.0,1.8549941353763766,EpsilonGreedy
23,1.0,1.2548666451616657,EpsilonGreedy
24,2.0,1.6106883788542596,EpsilonGreedy
25,2.0,2.879590306518667,EpsilonGreedy
26,2.0,2.627182174847772,EpsilonGreedy
27,2.0,3.788310896597533,EpsilonGreedy
28,2.0,4.136380840879421,EpsilonGreedy
29,2.0,3.171997819326217,EpsilonGreedy
30,2.0,3.2235792027211474,EpsilonGreedy
31,2.0,2.4955147557043755,EpsilonGreedy
32,2.0,1.486145388151701,EpsilonGreedy
33,2.0,4.226759294352591,EpsilonGreedy
34,2.0,4.128523083508513,EpsilonGreedy
35,2.0,1.5122262304293796,EpsilonGreedy
36,2.0,2.4350905616182015,EpsilonGreedy
37,2.0,2.3112811337974897,EpsilonGreedy
38,2.0,2.1436061598114446,EpsilonGreedy
39,2.0,3.0886237890158714,EpsilonGreedy
40,2.0,3.63153219495181,EpsilonGreedy
41,2.0,2.9221056974234245,EpsilonGreedy
42,2.0,3.4844940675813514,EpsilonGreedy
43,2.0,0.9425054454276123,EpsilonGreedy
44,3.0,6.788420085894579,EpsilonGreedy
45,3.0,3.933033756424675,EpsilonGreedy
46,3.0,4.281528941573064,EpsilonGreedy
47,3.0,3.5033530936940487,EpsilonGreedy
48,3.0,4.5290248613414175,EpsilonGreedy
